customer_id,first_name,last_name,email,active,create_date,store_id,total_payments,total_revenue,average_payment,last_payment_date
148,Eleanor,Hunt,eleanor.hunt@sakilacustomer.org,1,2006-02-14,1,45,211.55,4.7011111111111115,2007-04-30 23:37:32.996577
526,Karl,Seal,karl.seal@sakilacustomer.org,1,2006-02-14,2,42,208.58,4.9661904761904765,2007-04-30 23:07:21.996577
178,Marion,Snyder,marion.snyder@sakilacustomer.org,1,2006-02-14,2,39,194.61,4.99,2007-05-14 13:44:29.996577
137,Rhonda,Kennedy,rhonda.kennedy@sakilacustomer.org,1,2006-02-14,2,38,191.62,5.042631578947368,2007-04-30 22:08:37.996577
144,Clara,Shaw,clara.shaw@sakilacustomer.org,1,2006-02-14,1,40,189.6,4.74,2007-04-30 10:10:36.996577
459,Tommy,Collazo,tommy.collazo@sakilacustomer.org,1,2006-02-14,1,37,183.63,4.962972972972973,2007-04-30 19:42:57.996577
181,Ana,Bradley,ana.bradley@sakilacustomer.org,1,2006-02-14,2,33,167.67,5.080909090909091,2007-05-14 13:44:29.996577
410,Curtis,Irby,curtis.irby@sakilacustomer.org,1,2006-02-14,2,38,167.62,4.411052631578947,2007-05-14 13:44:29.996577
236,Marcia,Dean,marcia.dean@sakilacustomer.org,1,2006-02-14,1,39,166.61,4.272051282051282,2007-05-14 13:44:29.996577
403,Mike,Way,mike.way@sakilacustomer.org,1,2006-02-14,1,33,162.67,4.92939393939394,2007-04-30 22:04:08.996577
522,Arnold,Havens,arnold.havens@sakilacustomer.org,1,2006-02-14,2,32,161.68,5.0525,2007-04-30 23:51:41.996577
469,Wesley,Bull,wesley.bull@sakilacustomer.org,1,2006-02-14,2,35,158.65,4.532857142857143,2007-04-30 18:27:08.996577
470,Gordon,Allard,gordon.allard@sakilacustomer.org,1,2006-02-14,1,31,157.69,5.086774193548387,2007-04-30 19:37:07.996577
373,Louis,Leone,louis.leone@sakilacustomer.org,1,2006-02-14,1,34,156.66,4.607647058823529,2007-05-14 13:44:29.996577
259,Lena,Jensen,lena.jensen@sakilacustomer.org,1,2006-02-14,2,30,154.7,5.156666666666666,2007-04-30 20:17:10.996577
468,Tim,Cary,tim.cary@sakilacustomer.org,1,2006-02-14,1,34,154.66,4.548823529411765,2007-04-30 05:34:55.996577
462,Warren,Sherrod,warren.sherrod@sakilacustomer.org,1,2006-02-14,2,31,152.69,4.925483870967742,2007-04-30 12:34:10.996577
372,Steve,Mackenzie,steve.mackenzie@sakilacustomer.org,1,2006-02-14,2,32,152.68,4.77125,2007-04-30 08:19:40.996577
187,Brittany,Riley,brittany.riley@sakilacustomer.org,1,2006-02-14,2,27,151.73,5.61962962962963,2007-04-30 12:27:07.996577
550,Guy,Brownlee,guy.brownlee@sakilacustomer.org,1,2006-02-14,2,31,151.69,4.893225806451613,2007-05-14 13:44:29.996577
176,June,Carroll,june.carroll@sakilacustomer.org,1,2006-02-14,1,32,151.68,4.74,2007-04-30 08:56:21.996577
532,Neil,Renner,neil.renner@sakilacustomer.org,1,2006-02-14,2,31,149.69,4.828709677419355,2007-05-14 13:44:29.996577
75,Tammy,Sanders,tammy.sanders@sakilacustomer.org,1,2006-02-14,2,39,149.61,3.836153846153846,2007-05-14 13:44:29.996577
209,Tonya,Chapman,tonya.chapman@sakilacustomer.org,1,2006-02-14,2,29,147.71,5.093448275862069,2007-04-30 13:28:41.996577
86,Jacqueline,Long,jacqueline.long@sakilacustomer.org,1,2006-02-14,2,32,146.68,4.58375,2007-04-30 17:40:15.996577
26,Jessica,Hall,jessica.hall@sakilacustomer.org,1,2006-02-14,2,32,146.68,4.58375,2007-04-30 22:00:06.996577
21,Michelle,Clark,michelle.clark@sakilacustomer.org,1,2006-02-14,1,32,146.68,4.58375,2007-05-14 13:44:29.996577
211,Stacey,Montgomery,stacey.montgomery@sakilacustomer.org,1,2006-02-14,1,33,146.67,4.444545454545454,2007-05-14 13:44:29.996577
346,Arthur,Simpkins,arthur.simpkins@sakilacustomer.org,1,2006-02-14,1,30,145.7,4.8566666666666665,2007-04-30 13:40:39.996577
366,Brandon,Huey,brandon.huey@sakilacustomer.org,1,2006-02-14,1,36,145.64,4.045555555555556,2007-05-14 13:44:29.996577
50,Diane,Collins,diane.collins@sakilacustomer.org,1,2006-02-14,1,30,144.7,4.823333333333333,2007-04-30 22:26:09.996577
360,Ralph,Madrigal,ralph.madrigal@sakilacustomer.org,1,2006-02-14,2,32,144.68,4.52125,2007-04-30 16:57:52.996577
348,Roger,Quintanilla,roger.quintanilla@sakilacustomer.org,1,2006-02-14,2,34,144.66,4.254705882352941,2007-04-30 21:57:42.996577
513,Duane,Tubbs,duane.tubbs@sakilacustomer.org,1,2006-02-14,2,30,143.7,4.79,2007-04-30 16:34:32.996577
454,Alex,Gresham,alex.gresham@sakilacustomer.org,1,2006-02-14,2,32,143.68,4.49,2007-04-30 17:32:56.996577
347,Ryan,Salisbury,ryan.salisbury@sakilacustomer.org,1,2006-02-14,2,30,142.7,4.756666666666667,2007-04-30 12:06:17.996577
390,Shawn,Heaton,shawn.heaton@sakilacustomer.org,1,2006-02-14,1,31,142.69,4.602903225806451,2007-04-30 17:51:51.996577
267,Margie,Wade,margie.wade@sakilacustomer.org,1,2006-02-14,1,33,142.67,4.323333333333333,2007-05-14 13:44:29.996577
257,Marsha,Douglas,marsha.douglas@sakilacustomer.org,1,2006-02-14,2,34,142.66,4.195882352941177,2007-04-30 20:39:20.996577
39,Debra,Nelson,debra.nelson@sakilacustomer.org,1,2006-02-14,1,29,141.71,4.886551724137931,2007-04-30 20:04:33.996577
78,Lori,Wood,lori.wood@sakilacustomer.org,1,2006-02-14,1,31,141.69,4.570645161290322,2007-04-30 06:00:11.996577
362,Nicholas,Barfield,nicholas.barfield@sakilacustomer.org,1,2006-02-14,1,31,140.69,4.538387096774193,2007-04-30 08:49:58.996577
363,Roy,Whiting,roy.whiting@sakilacustomer.org,1,2006-02-14,2,28,139.72,4.99,2007-04-30 15:27:08.996577
368,Harry,Arce,harry.arce@sakilacustomer.org,0,2006-02-14,1,31,139.69,4.506129032258064,2007-04-30 18:44:24.996577
119,Sherry,Marshall,sherry.marshall@sakilacustomer.org,1,2006-02-14,1,31,139.69,4.506129032258064,2007-04-30 19:15:55.996577
66,Janice,Ward,janice.ward@sakilacustomer.org,1,2006-02-14,2,33,139.67,4.232424242424242,2007-04-30 06:59:11.996577
237,Tanya,Gilbert,tanya.gilbert@sakilacustomer.org,1,2006-02-14,1,31,138.69,4.473870967741935,2007-04-30 17:48:47.996577
29,Angela,Hernandez,angela.hernandez@sakilacustomer.org,1,2006-02-14,2,35,138.65,3.9614285714285713,2007-05-14 13:44:29.996577
87,Wanda,Patterson,wanda.patterson@sakilacustomer.org,1,2006-02-14,1,28,137.72,4.918571428571429,2007-05-14 13:44:29.996577
80,Marilyn,Ross,marilyn.ross@sakilacustomer.org,1,2006-02-14,1,30,137.7,4.59,2007-05-14 13:44:29.996577
439,Alexander,Fennell,alexander.fennell@sakilacustomer.org,1,2006-02-14,2,33,137.67,4.171818181818182,2007-04-30 15:50:05.996577
558,Jimmie,Eggleston,jimmie.eggleston@sakilacustomer.org,0,2006-02-14,1,28,135.72,4.847142857142857,2007-04-29 23:08:09.996577
494,Ramon,Choate,ramon.choate@sakilacustomer.org,1,2006-02-14,2,30,135.7,4.523333333333333,2007-04-30 22:52:43.996577
576,Morris,Mccarter,morris.mccarter@sakilacustomer.org,1,2006-02-14,2,32,135.68,4.24,2007-05-14 13:44:29.996577
591,Kent,Arsenault,kent.arsenault@sakilacustomer.org,1,2006-02-14,1,27,134.73,4.99,2007-04-30 05:16:59.996577
467,Alvin,Deloach,alvin.deloach@sakilacustomer.org,1,2006-02-14,2,28,134.72,4.811428571428571,2007-04-29 18:10:59.996577
479,Zachary,Hite,zachary.hite@sakilacustomer.org,1,2006-02-14,1,29,134.71,4.645172413793103,2007-05-14 13:44:29.996577
210,Ella,Oliver,ella.oliver@sakilacustomer.org,1,2006-02-14,2,30,134.7,4.49,2007-04-29 17:01:13.996577
120,Sylvia,Ortiz,sylvia.ortiz@sakilacustomer.org,1,2006-02-14,2,30,134.7,4.49,2007-05-14 13:44:29.996577
204,Rosemary,Schmidt,rosemary.schmidt@sakilacustomer.org,1,2006-02-14,1,31,134.69,4.344838709677419,2007-04-30 18:34:50.996577
15,Helen,Harris,helen.harris@sakilacustomer.org,1,2006-02-14,1,32,134.68,4.20875,2007-05-14 13:44:29.996577
5,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,1,2006-02-14,1,35,134.65,3.847142857142857,2007-05-14 13:44:29.996577
349,Joe,Gilliland,joe.gilliland@sakilacustomer.org,1,2006-02-14,2,28,133.72,4.775714285714286,2007-05-14 13:44:29.996577
404,Stanley,Scroggins,stanley.scroggins@sakilacustomer.org,1,2006-02-14,2,29,133.71,4.610689655172414,2007-04-30 21:31:58.996577
172,Bernice,Willis,bernice.willis@sakilacustomer.org,1,2006-02-14,1,30,133.7,4.456666666666667,2007-04-30 11:43:01.996577
197,Sue,Peters,sue.peters@sakilacustomer.org,1,2006-02-14,2,32,133.68,4.1775,2007-04-30 21:35:06.996577
265,Jennie,Terry,jennie.terry@sakilacustomer.org,1,2006-02-14,2,28,132.72,4.74,2007-04-30 19:21:11.996577
533,Jessie,Milam,jessie.milam@sakilacustomer.org,1,2006-02-14,1,30,132.7,4.423333333333333,2007-05-14 13:44:29.996577
380,Russell,Brinson,russell.brinson@sakilacustomer.org,1,2006-02-14,1,35,132.65,3.79,2007-04-30 13:08:01.996577
472,Greg,Robins,greg.robins@sakilacustomer.org,1,2006-02-14,1,26,131.74,5.066923076923077,2007-05-14 13:44:29.996577
13,Karen,Jackson,karen.jackson@sakilacustomer.org,1,2006-02-14,2,27,131.73,4.878888888888889,2007-04-30 19:58:07.996577
46,Catherine,Campbell,catherine.campbell@sakilacustomer.org,1,2006-02-14,2,31,131.69,4.248064516129032,2007-04-30 18:44:47.996577
125,Ethel,Webb,ethel.webb@sakilacustomer.org,1,2006-02-14,1,31,131.69,4.248064516129032,2007-04-30 22:37:33.996577
3,Linda,Williams,linda.williams@sakilacustomer.org,1,2006-02-14,1,24,130.76,5.448333333333333,2007-04-30 20:14:12.996577
273,Priscilla,Lowe,priscilla.lowe@sakilacustomer.org,1,2006-02-14,2,28,130.72,4.668571428571429,2007-04-30 18:17:07.996577
7,Maria,Miller,maria.miller@sakilacustomer.org,1,2006-02-14,1,28,130.72,4.668571428571429,2007-04-30 02:58:29.996577
502,Brett,Cornwell,brett.cornwell@sakilacustomer.org,1,2006-02-14,1,30,130.7,4.3566666666666665,2007-04-30 12:11:26.996577
566,Casey,Mena,casey.mena@sakilacustomer.org,1,2006-02-14,1,32,130.68,4.08375,2007-04-30 21:29:57.996577
342,Harold,Martino,harold.martino@sakilacustomer.org,1,2006-02-14,1,32,130.68,4.08375,2007-04-30 23:30:48.996577
112,Rosa,Reynolds,rosa.reynolds@sakilacustomer.org,1,2006-02-14,2,28,129.72,4.632857142857143,2007-04-30 17:17:38.996577
560,Jordan,Archuleta,jordan.archuleta@sakilacustomer.org,1,2006-02-14,1,29,129.71,4.472758620689655,2007-05-14 13:44:29.996577
102,Crystal,Ford,crystal.ford@sakilacustomer.org,1,2006-02-14,1,30,129.7,4.323333333333333,2007-04-30 14:47:05.996577
168,Regina,Berry,regina.berry@sakilacustomer.org,1,2006-02-14,1,32,129.68,4.0525,2007-05-14 13:44:29.996577
484,Roberto,Vu,roberto.vu@sakilacustomer.org,1,2006-02-14,1,27,128.73,4.767777777777778,2007-04-30 21:50:46.996577
103,Gladys,Hamilton,gladys.hamilton@sakilacustomer.org,1,2006-02-14,1,29,128.71,4.4382758620689655,2007-04-30 18:10:33.996577
242,Glenda,Frazier,glenda.frazier@sakilacustomer.org,1,2006-02-14,1,29,128.71,4.4382758620689655,2007-04-30 19:38:40.996577
84,Sara,Perry,sara.perry@sakilacustomer.org,1,2006-02-14,2,30,128.7,4.29,2007-04-30 06:18:36.996577
196,Alma,Austin,alma.austin@sakilacustomer.org,1,2006-02-14,1,31,128.69,4.151290322580645,2007-04-30 22:57:04.996577
448,Miguel,Betancourt,miguel.betancourt@sakilacustomer.org,1,2006-02-14,1,27,127.73,4.730740740740741,2007-05-14 13:44:29.996577
221,Bessie,Morrison,bessie.morrison@sakilacustomer.org,1,2006-02-14,1,27,127.73,4.730740740740741,2007-04-30 20:48:30.996577
520,Mitchell,Westmoreland,mitchell.westmoreland@sakilacustomer.org,1,2006-02-14,2,31,127.69,4.119032258064516,2007-04-30 18:19:03.996577
141,Debbie,Reyes,debbie.reyes@sakilacustomer.org,1,2006-02-14,1,31,127.69,4.119032258064516,2007-04-30 06:18:22.996577
38,Martha,Gonzalez,martha.gonzalez@sakilacustomer.org,1,2006-02-14,1,34,127.66,3.7547058823529413,2007-04-30 19:36:59.996577
200,Jeanne,Lawson,jeanne.lawson@sakilacustomer.org,1,2006-02-14,2,26,126.74,4.874615384615384,2007-05-14 13:44:29.996577
206,Terri,Vasquez,terri.vasquez@sakilacustomer.org,1,2006-02-14,1,27,126.73,4.6937037037037035,2007-04-30 21:34:10.996577
146,Jamie,Rice,jamie.rice@sakilacustomer.org,1,2006-02-14,1,27,126.73,4.6937037037037035,2007-04-28 23:07:07.996577
436,Troy,Quigley,troy.quigley@sakilacustomer.org,1,2006-02-14,1,27,126.73,4.6937037037037035,2007-04-30 23:34:53.996577
